date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:26	12040/-1	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Apr%202020%2014:42:24%20GMT	http://stylescss.free.fr/robots.txt		(from )
16:42:32	138308/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:42:24%20GMT	http://stylescss.free.fr/	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/index.html	(from )
16:42:34	86927/86927	---M--	200	added ('OK')	application/x-javascript	etag:%2260648ed30-1538f-5c666e51%22	http://stylescss.free.fr/v2-js/jquery/jquery-3.3.1.min.js	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-js/jquery/jquery-3.3.1.min.js	(from http://stylescss.free.fr/)
16:42:35	83488/83488	---M--	200	added ('OK')	application/x-javascript	etag:%22e019411eb-14620-5c8e72f2%22	http://stylescss.free.fr/v2-js/jquery-ui/jquery-ui.min.js	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-js/jquery-ui/jquery-ui.min.js	(from http://stylescss.free.fr/)
16:42:35	6876/6876	---M--	200	added ('OK')	application/x-javascript	etag:%225060e4371-1adc-5e5a366c%22	http://stylescss.free.fr/v2-js/general.js?v=8	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-js/general8e0e.js	(from http://stylescss.free.fr/)
16:42:36	1641/1641	---M--	200	added ('OK')	application/x-javascript	etag:%225032b52ba-669-5d8dd787%22	http://stylescss.free.fr/v2-js/caniuse.js?v=1	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-js/caniuse3860.js	(from http://stylescss.free.fr/)
16:42:36	4523/4523	---M--	200	added ('OK')	image/png	etag:%22f047185d9-11ab-5e0e1330%22	http://stylescss.free.fr/v2-img/icone.png?v=2	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-img/icone5e1f.png	(from http://stylescss.free.fr/)
16:42:36	20739/20739	---M--	200	added ('OK')	text/css	etag:%22e019411e8-5103-5c8e72f2%22	http://stylescss.free.fr/v2-js/jquery-ui/jquery-ui.min.css	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-js/jquery-ui/jquery-ui.min.css	(from http://stylescss.free.fr/)
16:42:37	407/407	---M--	200	added ('OK')	text/css	etag:%22402330760-197-5e183daf%22	http://stylescss.free.fr/v2-css/jquery-ui-alp.css?v=1	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-css/jquery-ui-alp3860.css	(from http://stylescss.free.fr/)
16:42:37	8755/8755	---M--	200	added ('OK')	text/css	etag:%224009c88a1-2233-5e490b37%22	http://stylescss.free.fr/v2-css/general.css?v=18	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-css/general8fa7.css	(from http://stylescss.free.fr/)
16:42:37	216/216	---M--	200	added ('OK')	text/css	etag:%22402330770-d8-5e183daf%22	http://stylescss.free.fr/v2-css/print.css?v=1	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-css/print3860.css	(from http://stylescss.free.fr/)
16:42:39	7147/7147	---M--	200	added ('OK')	image/png	etag:%22f047185d8-1beb-5dda5be4%22	http://stylescss.free.fr/v2-img/hamburger.png	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-img/hamburger.png	(from http://stylescss.free.fr/)
16:42:48	65233/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:42:36%20GMT	http://stylescss.free.fr/tdm.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/tdm.html	(from http://stylescss.free.fr/)
16:42:50	71586/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:42:36%20GMT	http://stylescss.free.fr/v2-tutoriels/intro-css.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-tutoriels/intro-css.html	(from http://stylescss.free.fr/)
16:42:51	74510/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:42:37%20GMT	http://stylescss.free.fr/v2-tutoriels/html-css.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-tutoriels/html-css.html	(from http://stylescss.free.fr/)
16:42:57	138343/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:42:35%20GMT	http://stylescss.free.fr/index.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/index-2.html	(from http://stylescss.free.fr/)
